"id","time","value"
"Restaurant",2019-09-01,69
"Restaurant",2019-09-08,74
"Restaurant",2019-09-15,72
"Restaurant",2019-09-22,72
"Restaurant",2019-09-29,74
"Restaurant",2019-10-06,78
"Restaurant",2019-10-13,78
"Restaurant",2019-10-20,74
"Restaurant",2019-10-27,76
"Restaurant",2019-11-03,72
"Restaurant",2019-11-10,73
"Restaurant",2019-11-17,70
"Restaurant",2019-11-24,68
"Restaurant",2019-12-01,69
"Restaurant",2019-12-08,70
"Restaurant",2019-12-15,71
"Restaurant",2019-12-22,81
"Restaurant",2019-12-29,93
"Restaurant",2020-01-05,66
"Restaurant",2020-01-12,69
"Restaurant",2020-01-19,71
"Restaurant",2020-01-26,69
"Restaurant",2020-02-02,71
"Restaurant",2020-02-09,78
"Restaurant",2020-02-16,72
"Restaurant",2020-02-23,64
"Restaurant",2020-03-01,62
"Restaurant",2020-03-08,52
"Restaurant",2020-03-15,29
"Restaurant",2020-03-22,16
"Restaurant",2020-03-29,17
"Restaurant",2020-04-05,16
"Restaurant",2020-04-12,20
"Restaurant",2020-04-19,21
"Restaurant",2020-04-26,26
"Restaurant",2020-05-03,33
"Restaurant",2020-05-10,51
"Restaurant",2020-05-17,67
"Restaurant",2020-05-24,69
"Restaurant",2020-05-31,75
"Restaurant",2020-06-07,73
"Restaurant",2020-06-14,77
"Restaurant",2020-06-21,84
"Restaurant",2020-06-28,81
"Restaurant",2020-07-05,88
"Restaurant",2020-07-12,91
"Restaurant",2020-07-19,99
"Restaurant",2020-07-26,96
"Restaurant",2020-08-02,100
"Restaurant",2020-08-09,88
"Restaurant",2020-08-16,84
"Restaurant",2020-08-23,80
"Bar",2019-09-01,75
"Bar",2019-09-08,75
"Bar",2019-09-15,74
"Bar",2019-09-22,70
"Bar",2019-09-29,77
"Bar",2019-10-06,80
"Bar",2019-10-13,78
"Bar",2019-10-20,76
"Bar",2019-10-27,80
"Bar",2019-11-03,81
"Bar",2019-11-10,82
"Bar",2019-11-17,78
"Bar",2019-11-24,72
"Bar",2019-12-01,80
"Bar",2019-12-08,77
"Bar",2019-12-15,77
"Bar",2019-12-22,100
"Bar",2019-12-29,97
"Bar",2020-01-05,80
"Bar",2020-01-12,80
"Bar",2020-01-19,80
"Bar",2020-01-26,79
"Bar",2020-02-02,79
"Bar",2020-02-09,78
"Bar",2020-02-16,84
"Bar",2020-02-23,73
"Bar",2020-03-01,77
"Bar",2020-03-08,62
"Bar",2020-03-15,37
"Bar",2020-03-22,27
"Bar",2020-03-29,27
"Bar",2020-04-05,29
"Bar",2020-04-12,32
"Bar",2020-04-19,33
"Bar",2020-04-26,38
"Bar",2020-05-03,41
"Bar",2020-05-10,58
"Bar",2020-05-17,68
"Bar",2020-05-24,68
"Bar",2020-05-31,79
"Bar",2020-06-07,82
"Bar",2020-06-14,82
"Bar",2020-06-21,80
"Bar",2020-06-28,81
"Bar",2020-07-05,80
"Bar",2020-07-12,81
"Bar",2020-07-19,79
"Bar",2020-07-26,78
"Bar",2020-08-02,83
"Bar",2020-08-09,77
"Bar",2020-08-16,76
"Bar",2020-08-23,71
"Rezept",2019-09-01,49
"Rezept",2019-09-08,48
"Rezept",2019-09-15,47
"Rezept",2019-09-22,48
"Rezept",2019-09-29,50
"Rezept",2019-10-06,50
"Rezept",2019-10-13,54
"Rezept",2019-10-20,52
"Rezept",2019-10-27,57
"Rezept",2019-11-03,54
"Rezept",2019-11-10,55
"Rezept",2019-11-17,58
"Rezept",2019-11-24,56
"Rezept",2019-12-01,63
"Rezept",2019-12-08,63
"Rezept",2019-12-15,71
"Rezept",2019-12-22,93
"Rezept",2019-12-29,73
"Rezept",2020-01-05,51
"Rezept",2020-01-12,52
"Rezept",2020-01-19,53
"Rezept",2020-01-26,52
"Rezept",2020-02-02,48
"Rezept",2020-02-09,51
"Rezept",2020-02-16,51
"Rezept",2020-02-23,49
"Rezept",2020-03-01,50
"Rezept",2020-03-08,47
"Rezept",2020-03-15,61
"Rezept",2020-03-22,84
"Rezept",2020-03-29,91
"Rezept",2020-04-05,100
"Rezept",2020-04-12,85
"Rezept",2020-04-19,81
"Rezept",2020-04-26,85
"Rezept",2020-05-03,77
"Rezept",2020-05-10,67
"Rezept",2020-05-17,70
"Rezept",2020-05-24,60
"Rezept",2020-05-31,63
"Rezept",2020-06-07,60
"Rezept",2020-06-14,56
"Rezept",2020-06-21,52
"Rezept",2020-06-28,54
"Rezept",2020-07-05,53
"Rezept",2020-07-12,52
"Rezept",2020-07-19,52
"Rezept",2020-07-26,52
"Rezept",2020-08-02,50
"Rezept",2020-08-09,49
"Rezept",2020-08-16,47
"Rezept",2020-08-23,45
"Sauerteig",2019-09-01,12
"Sauerteig",2019-09-08,18
"Sauerteig",2019-09-15,11
"Sauerteig",2019-09-22,14
"Sauerteig",2019-09-29,29
"Sauerteig",2019-10-06,13
"Sauerteig",2019-10-13,9
"Sauerteig",2019-10-20,24
"Sauerteig",2019-10-27,12
"Sauerteig",2019-11-03,23
"Sauerteig",2019-11-10,17
"Sauerteig",2019-11-17,15
"Sauerteig",2019-11-24,10
"Sauerteig",2019-12-01,18
"Sauerteig",2019-12-08,13
"Sauerteig",2019-12-15,10
"Sauerteig",2019-12-22,6
"Sauerteig",2019-12-29,38
"Sauerteig",2020-01-05,17
"Sauerteig",2020-01-12,27
"Sauerteig",2020-01-19,25
"Sauerteig",2020-01-26,21
"Sauerteig",2020-02-02,15
"Sauerteig",2020-02-09,18
"Sauerteig",2020-02-16,21
"Sauerteig",2020-02-23,7
"Sauerteig",2020-03-01,16
"Sauerteig",2020-03-08,33
"Sauerteig",2020-03-15,62
"Sauerteig",2020-03-22,100
"Sauerteig",2020-03-29,86
"Sauerteig",2020-04-05,99
"Sauerteig",2020-04-12,82
"Sauerteig",2020-04-19,68
"Sauerteig",2020-04-26,64
"Sauerteig",2020-05-03,70
"Sauerteig",2020-05-10,53
"Sauerteig",2020-05-17,72
"Sauerteig",2020-05-24,37
"Sauerteig",2020-05-31,43
"Sauerteig",2020-06-07,43
"Sauerteig",2020-06-14,31
"Sauerteig",2020-06-21,36
"Sauerteig",2020-06-28,24
"Sauerteig",2020-07-05,29
"Sauerteig",2020-07-12,28
"Sauerteig",2020-07-19,26
"Sauerteig",2020-07-26,20
"Sauerteig",2020-08-02,28
"Sauerteig",2020-08-09,16
"Sauerteig",2020-08-16,18
"Sauerteig",2020-08-23,16
